aai	ai	
aak	maple	
aakschipper	bargemaster	
aal	eel	
aalbes	currant	
aalbesseboom	currant	
aalbesseboompje	currant	
aalbessengelei	currantjelly	
aalbessenjenever	blackcurrantgin	
aalbessenvla	currantcustard	
aalbessesap	currantjuice	
aalbessestruik	currant	
aalduiker	grebe	
aalgeer	eelspear	
aalglad	slipperyasaneel	
aalmoes	alms	
aalmoezenier	chaplain	
aalmoezeniershuis	almshouse	
aalschaar	eelspear	
aalscholver	cormorant	
aalspeer	eelspear	
aalst	alost	A
aalsvel	eelskin	
aalt	liquidmanure	
aaltje	nematode	
aalvork	eelspear	
aalvormig	anguilliform	
aalwaardig	fretful	
aalwarig	fretful	
aam	aum	
aambei	haemorrhoid	
aambeien	haemorhoids	
aambeienpoeder	pilepowder	
aambeienzalf	pileointment	
aamborstig	asthmatic	
aamborstigheid	asthma	
aan	at	
aanaarden	earth	
aanbakken	fur	
aanbeeldbeentje	anvil	
aanbeeldbeitel	hardy	
aanbeeldsbeentje	anvil	
aanbeeldvogel	smallwoodpecker	
aanbehorend	accessory	
aanbelanden	endup	
aanbelang	concern	
aanbelangen	concern	
aanbesteden	invitetendersfor	
aanbesteding	tender	
aanbetaling	initialdeposit	
aanbevelen	commend	
aanbevelenswaard	recommendable	
aanbevelenswaardig	recommendable	
aanbeveling	recommendation	
aanbevelingsbrief	letterofintroduction	
aanbevolen	recommended	
aanbiddelĳk	adorable	
aanbidden	adore	
aanbiddenswaardig	adorable	
aanbidding	adoration	
aanbidster	adorer	
aanbieden	bid	
aanbieding	offer	
aanbinden	begin	
aanblaffen	bayat	
aanblazen	fan	
aanblik	appearance	
aanblĳven	stayon	
aanbod	offer	
aanboren	bore	
aanbouw	building	
aanbouwen	add	
aanbreken	breakinto	
aanbrengen	fit	
aandacht	acuity	
aandachtig	attentive	
aandeel	share	
aandeelhouder	shareholder	
aandeelhouderschap	shareholdership	
aandenken	keepsake	
aandienen	advertise	
aandikken	thicken	
aandoen	affect	
aandoening	affection	
aandoenlĳk	affecting	
aandraaien	fasten	
aandragen	bring	
aandrang	crush	
aandrift	access	
aandringen	insist	
aandrukken	press	
aandrĳfas	driveshaft	
aandrĳven	chase	
aandrĳving	drive	
aanduiden	indicate	
aanduiding	index	
aandurven	daretofight	
aanduwen	push	
aaneen	fellow	
aaneennaaien	sewtogether	
aaneenschakelen	linktogether	
aaneenschakeling	order	
aaneenvoegen	join	
aanflitsen	burn	
aanfloepen	burn	
aanfluiting	mockery	
aangaan	makeanoise	
aangaande	about	
aangapen	gape	
aangebedene	adoredone	
aangeboren	congenital	
aangebrand	burnt	
aangedaan	affected	
aangegrepen	affected	
aangeklaagde	accused	
aangeleerd	acquired	
aangelegenheid	affair	
aangenaam	agreeable	
aangenaamheid	pleasantness	
aangenomen	adoptive	
aangepast	adapted	
aangeschoten	tipsy	
aangespen	gird	
aangestoken	unsound	
aangetekend	registered	
aangetrouwd	bymarriage	
aangeven	declare	
aangezicht	face	
aangezichtspĳn	ticdouloureux	
aangezien	because	
aangifte	declaration	
aangiftebiljet	taxform	
aangorden	gird	
aangrenzend	adjacent	
aangroei	accretion	
aangroeien	accrue	
aangroeiend	accumulative	
aangrĳpen	affect	
aangrĳpend	affecting	
aanhaken	hitchon	
aanhalen	attract	
aanhalig	affectionate	
aanhaling	citation	
aanhalingsteken	invertedcomma	
aanhalingstekens	quotationmarks	
aanhang	adherents	
aanhangen	stick	
aanhanger	acolyte	
aanhangig	pending	
aanhangsel	accessory	
aanhangwagen	trailer	
aanhankelĳk	affectionate	
aanhankelĳkheid	adherence	
aanharken	rake	
aanhebben	wear	
aanhechten	affix	
aanhechting	attachment	
aanhechtsel	affix	
aanhef	beginning	
aanhoren	listen	
aanhouden	arrest	
aanhoudend	abiding	
aanhouding	apprehension	
aankaarten	bringup	
aanklacht	accusation	
aanklagen	accusation	
aanklager	accuser	
aanklampen	board	
aankleden	furnish	
aanklevend	adhesive	
aankloppen	knockatthedoor	
aanknopen	tieon	
aanknopingspunt	startingpoint	
aankomen	gain	
aankomend	junior	
aankomst	arrival	
aankondigen	advertise	
aankondiging	announcement	
aankoop	acquisition	
aankopen	acquire	
aankruisen	checkoff	
aankweken	cultivate	
aanlanden	land	
aanleg	predisposition	
aanleggen	level	
aanleghaven	portofcall	
aanlegplaats	platform	
aanlegsteiger	pier	
aanleiding	inducement	
aanlengen	dilute	
aanleren	learn	
aanliggend	adjacent	
aanlokkelĳk	attractive	
aanlokken	attract	
aanloop	run	
aanloopkosten	initialcost	
aanloopperiode	initialstage	
aanmaak	making	
aanmaken	kindle	
aanmanen	admonish	
aanmaning	admonition	
aanmatigend	arrogant	
aanmatiging	arrogance	
aanmelding	accession	
aanmeldingsformulier	applicationform	
aanmerkelĳk	considerable	
aanmerking	criticism	
aanmoedigen	encourage	
aanmoediging	encouragement	
aanmunten	mark	
aannaaien	sew	
aannemelĳk	acceptable	
aannemen	adopt	
aannemer	builder	
aanneming	adoption	
aanpak	approach	
aanpakken	advance	
aanpappen	chumup	
aanpasbaar	adaptable	
aanpassen	attune	
aanpassing	adaptation	
aanpassingsvermogen	adaptability	
aanplakbiljet	notice	
aanplakken	placard	
aanplakzuil	advertisingpillar	
aanplant	plantation	
aanplanten	plant	
aanplanting	planting	
aanporren	rouse	
aanpoten	workhard	
aanpraten	palmoffon	
aanprĳzen	commend	
aanraden	advise	
aanraken	touch	
aanraking	contact	
aanrakingspunt	pointofcontact	
aanranden	assault	
aanrander	assailant	
aanranding	assault	
aanrecht	dresser	
aanreiken	hand	
aanrekenen	blame	
aanrichten	arrange	
aanroepen	appealto	
aanroeren	touchupon	
aanrukken	advance	
aanrĳden	collide	
aanrĳding	collision	
aanschaf	acquisition	
aanschaffen	buy	
aanschieten	wing	
aanschikken	drawuptothetable	
aanschouwelĳk	clear	
aanschouwing	examination	
aanschroeven	screwhome	
aanschrĳven	instruct	
aanschrĳving	warrant	
aanschuiven	pushon	
aanschĳn	exterior	
aanslaan	alarm	
aanslag	fur	
aanslibben	siltup	
aanslibbing	accretion	
aansluiten	connect	
aansluiting	connection	
aansluitpoort	port	
aansmeren	palmoffon	
aansnĳden	bringup	
aanspannen	put	
aansporen	admonish	
aansporing	admonition	
aanspraak	claim	
aansprakelĳk	accountable	
aansprakelĳkheidsverzekering	liabilityinsurance	
aanspreekbaar	approachable	
aanspreken	accost	
aanstaan	beajar	
aanstaand	close	
aanstampen	stepon	
aanstaren	gaze	
aanstekelĳk	catching	
aansteken	kindle	
aansteker	lighter	
aanstellen	appoint	
aansteller	attitudinizer	
aanstellerig	affected	
aanstellerĳ	affectation	
aanstelling	appointment	
aansterken	convalesce	
aanstichter	instigator	
aanstippen	touchlightlyon	
aanstoken	abet	
aanstoker	firebrand	
aanstonds	atonce	
aanstoot	offence	
aanstotelĳk	aggravating	
aanstoten	jog	
aanstrepen	checkoff	
aanstrĳken	rub	
aantal	amount	
aantasten	assault	
aantekenboekje	notebook	
aantekenen	note	
aantekening	annotation	
aantikken	finish	
aantonen	demonstrate	
aantreden	fallin	
aantreffen	comeacross	
aantrekkelĳk	attractive	
aantrekkelĳkheid	attraction	
aantrekken	attract	
aantrekkingskracht	attraction	
aantĳging	imputation	
aanvaard	accepted	
aanvaardbaar	acceptable	
aanvaarden	accept	
aanvaarding	acceptance	
aanval	attack	
aanvallen	commitaggression	
aanvallend	aggressive	
aanvaller	aggressor	
aanvalligheid	charm	
aanvalsoorlog	warofaggression	
aanvalsspits	attacker	
aanvang	beginning	
aanvangen	begin	
aanvangssnelheid	initialvelocity	
aanvankelĳk	atfirst	
aanvaring	collision	
aanvatten	get	
aanvechtbaar	debatable	
aanvechten	challenge	
aanvechting	disposal	
aanvegen	sweep	
aanverwant	affined	
aanvliegen	approach	
aanvliegroute	approachpath	
aanvoelen	feel	
aanvoer	arrival	
aanvoerder	boss	
aanvoeren	bring	
aanvraag	order	
aanvraagformulier	applicationform	
aanvragen	book	
aanvrager	applicant	
aanvullen	complete	
aanvullend	complementary	
aanvulling	replacement	
aanvuren	encourage	
aanwakkeren	agitate	
aanwas	accretion	
aanwassen	accrue	
aanwenden	apply	
aanwending	application	
aanwennen	accustom	
aanwensel	habit	
aanwerven	employ	
aanwezig	present	
aanwezige	occupant	
aanwezigheid	presence	
aanwinst	accession	
aanwippen	dropin	
aanwĳsbaar	apparent	
aanwĳzen	indicate	
aanwĳzing	index	
aanzetschakelaar	starter	
aanzetten	sharpen	
aanzien	appearance	
aanzienlĳk	aristocratic	
aanzitten	touchupon	
aanzoek	offer	
aanzwellen	swell	
aanzĳn	existence	
aap	ape	
aapachtig	apish	
aapje	cab	
aar	ear	A
aard	character	
aardappel	potato	
aardappelmeel	potatoflour	
aardappelpuree	mashedpotatoes	
aardappelschilmesje	potatopeeler	
aardappelziekte	potatoblight	
aardas	axisoftheearth	
aardbei	strawberry	
aardbeiboom	arbutus	
aardbeiboomvrucht	arbutusfruit	
aardbeving	earthquake	
aardbodem	earth	
aardbol	globe	
aarde	ground	
aarden	earthen	
aardewerk	crockery	
aardgas	naturalgas	
aardgordel	zone	
aardig	affable	
aardigheid	entertainment	
aardigheidje	littlepresent	
aarding	earthconnection	
aardkluit	clodofearth	
aardkorst	crustoftheearth	
aardkunde	geology	
aardlaag	layer	
aardleiding	earthconnection	
aardmannetje	brownie	
aardnoot	peanut	
aardolie	crudeoil	
aardpek	asphalt	
aardrĳk	world	
aardrĳkskunde	geography	
aardrĳkskundig	geographic	
aardrĳkskundige	geographer	
aards	terrestrial	
aardsatelliet	earthsatellite	
aardschok	earthquakeshock	
aardvarken	aardvark	
aardverschuiving	landslide	
aardworm	earthworm	
aars	anus	
aartsbisdom	archbishopric	
aartsbisschop	archbishop	
aartsdom	asstupidasanass	
aartsengel	archangel	
aartshertog	archduke	
aartshertogdom	archduchy	
aartsvader	patriarch	
aarzelen	hesitate	
aarzelend	hesitant	
aarzeling	hesitation	
aas	ace	
aasgier	vulture	
aasvlieg	bluebottle	
abandonnement	abandonment	
abces	abscess	
abchazisch	abkhazian	
abchazië	abkhazia	
abchaziër	abkhazian	
abdiceren	abdicate	
abdiqueren	abdicate	
abdis	abbess	
abdominaal	abdominal	
abdĳ	abbey	
abeel	abele	
aberreren	deviate	
abessinië	abyssinia	
abessiniër	abyssinian	
abessĳn	abyssinian	
abessĳns	abyssinian	
ablatief	ablative	
abnegatie	abnegation	
abnegeren	abnegate	
abnormaal	abnormal	
abnormaliteit	abnormality	
abonnee	subscriber	
abonnement	subscription	
aborteren	abort	
aborteur	abortionist	
abortus	abortion	A
abri	shelter	
abrikoos	apricot	
abrogatie	abrogation	
abrupt	abruptly	A
abscis	abscissa	
absenteïsme	absenteeism	
absentie	absence	
absentielĳst	attendanceregister	
abside	apsis	
absint	absinth	
absintlikeur	absinth	
absolutie	absolution	
absolutisme	absolutism	
absoluut	absolute	
absolveren	absolve	
absorberend	absorbent	
absorptie	absorption	
abstemius	teetotaller	
abstinentie	teetotalism	
abstractie	abstraction	
abstraheren	abstraction	
absurditeit	absurdity	
abt	abbot	A
abtschap	abbacy	
abuis	aberration	
abundantie	abundance	
abusievelĳk	bymistake	
academicus	academic	
academie	academy	
academisch	academic	
accapareren	corner	
accelerateur	accelerator	
acceleratie	acceleration	
acceleren	accelerate	
accelereren	accelerate	
accentteken	accentmark	
accentueren	accent	
acceptabel	acceptable	
acceptant	acceptor	
accepteren	accept	
acceptgirokaart	giropaymentslip	
accessoires	accessories	
accidenteel	accidental	
acclamatie	acclaim	
acclimatiseren	acclimatize	
acclimatisering	acclimatization	
accolade	brace	A
accommodatie	accommodation	
accommoderen	accomodate	
accompagnement	accompaniment	
accompagneren	accompany	
accordeon	accordion	
accordeonist	accordionist	
accorderen	cometoanagreement	
accrediteren	accredit	
accreditief	letterofcredit	
accu	accumulator	
accumuleren	accumulate	
accuraat	accurate	
accuratesse	accuracy	
accusatief	accusative	
accĳns	excise	
acetaat	acetate	
aceton	acetone	
acetyleen	acetylene	
ach	ah	
acht	acuity	
achtbaar	respectable	
achteloos	careless	
achteloosheid	carelessness	
achten	esteem	
achtenswaardig	respectable	
achter	attheback	
achteraan	attheback	
achterachterkleinkind	greatgrandchild	
achteraf	outoftheway	
achteras	backaxle	
achterbaks	underhand	
achterbalkon	rearplatform	
achterban	adherents	
achterbank	backseat	
achterblĳven	bekeptin	
achterblĳver	laggard	
achterbuurt	backstreet	
achterdocht	suspicion	
achterdochtig	suspicious	
achtereen	atastrech	
achtereenvolgens	consecutively	
achtereind	backpart	
achtergrond	background	
achterhoede	rear	
achterhoofd	backofthehead	
achterhouden	holdback	
achterin	behind	
achterkant	back	
achterklap	backbiting	
achterkleindochter	greatgranddaughter	
achterkleinkind	greatgrandchild	
achterkleinzoon	greatgrandson	
achterland	hinterland	
achterlaten	leavebehind	
achterlopen	belate	
achterlĳf	abdomen	
achterlĳk	backward	
achterlĳkheid	backwardness	
achternaam	surname	
achternagaan	runafter	
achterneef	secondcousin	
achternicht	secondcousin	
achterover	backward	
achteroverdrukken	pilfer	
achterovervallen	fallbackwards	
achterruit	rearwindow	
achterstallig	back	
achterstand	arrears	
achterste	last	
achterstellen	subordinate	
achterstelling	neglect	
achtersteven	poop	
achterstevoren	backtofront	
achteruit	backward	
achteruitgaan	decline	
achteruitgang	abatement	
achteruitkĳkspiegel	drivingmirror	
achteruitlopen	walkback	
achteruitrĳden	back	
achtervoegen	affix	
achtervoegsel	extension	
achtervolgen	chase	
achtervolging	persecution	
achterwaarts	backward	
achterwiel	backwheel	
achterzĳde	back	
achthoek	octagon	
achthoekig	octagonal	
achthonderd	eighthundred	
achting	esteem	
achtste	eighth	
achttal	numberofeight	
achttallig	octal	
achttien	eighteen	
achttiende	eighteenth	
achtvoudig	eightfold	
acoliet	acolyte	
acquest	accession	
acquisitie	acquirement	
acrobaat	acrobat	
acrobatiek	acrobatics	
acrobatisch	acrobatic	
acroniem	acronym	
acrostichon	achrostic	
acteren	act	
acteur	actor	
actie	action	
actiecomité	actioncommittee	
actief	active	
actieradius	radius	
activa	assets	
activeren	activate	
activisme	activism	
activiteit	activity	
actrice	actress	
actualiteit	topic	
actuaris	actuary	
actueel	current	
acupuncteur	acupuncturist	
acupunctuur	acupuncture	
acuut	acute	
adaptabel	adaptable	
adaptatie	adaptation	
adapteren	adapt	
adaptie	adaptation	
additioneel	additional	
adel	nobility	
adelaar	eagle	
adelaarsjong	eaglet	
adelaarsneus	aquilinenose	
adelborst	middy	
adeldom	nobility	
adelheid	adelaide	
adelheide	adelaide	
adellĳk	stale	
adelstand	nobility	
adem	breath	
ademen	exhale	
ademhalen	breathe	
ademhaling	respiration	
ademhalingsweg	airway	
ademloos	breathless	
ademnood	dyspnea	
adempauze	breather	
ademtest	breathtest	
adept	acolyte	A
adequaat	adequate	
ader	vein	A
aderen	grain	
aderlaten	bleed	
aderlating	loss	
aderontsteking	phlebitis	
aderverkalking	arteriosclerosis	
adhesie	adhesion	
adiabatisch	adiabatic	
adiantum	maidenhair	
adipositas	adipose	
adjectief	adjective	
adjudant	adjutant	
adjunct	assistant	A
administrateur	manager	
administratie	administration	
administratief	administrative	
administratiekantoor	administration	
administratiekosten	administrativeexpenses	
administreren	administer	
admiraal	admiral	
admiraalschap	admiralship	
admiraalvlinder	redadmiral	
admiraliteit	admirality	
admissie	admission	
admittantie	admittance	
adopteren	adopt	
adoptie	adoption	
adoratie	adoration	
adoreren	adore	
adres	address	
adresboek	addresslist	
adreskaart	dispatchnote	
adressant	applicant	
adresseermachine	addressingmachine	
adresseren	address	
adreswĳziging	changeofaddress	
adriaan	adrian	
adrianopel	adrianople	
adrianus	adrian	
adstringerend	astringent	
adstructie	proof	
adstrueren	prove	
adulter	adulterer	
adulteren	commitadultery	
adverbium	adverb	
adverteerder	advertiser	
advertentie	ad	
advertentieblad	advertiser	
adverteren	advertise	
advies	notification	
adviesprĳs	recommendedprice	
adviseren	advise	
adviseur	counsellor	
advocaat	advocate	
adzjarië	adzharia	
aegide	aegis	
af	finished	
afasie	aphasia	
afbakenen	markout	
afbeelden	depict	
afbeelding	image	
afbellen	cancelbytelephone	
afbestellen	cancel	
afbetalen	amortize	
afbetaling	acquittal	
afbetalingstermĳn	instalment	
afbeulen	fagout	
afbikken	chip	
afbinden	ligature	
afbladderen	flakeoff	
afboeken	transfer	
afbraak	demolition	
afbraakprodukt	breakdownproduct	
afbraakprĳs	distressprize	
afbranden	beburntdown	
afbreekbaar	biodegradable	
afbreken	break	
afbrekingsstreepje	break	
afbrekingsteken	break	
afbrengen	leadaway	
afbreuk	harm	
afbrokkelen	crumble	
afbuigen	branchoff	
afbĳten	biteoff	
afdak	penthouse	
afdalen	descend	
afdaling	descent	
afdammen	bar	
afdanken	discharge	
afdeling	branch	
afdelingschef	headofadepartment	
afdingen	bargain	
afdoen	takeoff	
afdoend	decisive	
afdoening	account	
afdraaien	rattleoff	
afdracht	remittance	
afdragen	useup	
afdrogen	clatter	
afdroogdoek	dishcloth	
afdruipen	drain	
afdruiprek	drainingboard	
afdruk	print	
afdrukken	copy	
afdrĳven	drift	
afdwalen	deviate	
afdwalend	aberrant	
afdwaling	digression	
afdwingen	extort	
affaire	affair	
affect	affection	A
affectie	affection	
affiche	notice	
affiliëren	affiliate	
affiniteit	affinity	
affodil	asphodel	
affront	abuse	A
affronteren	abuse	
affuit	carriage	
afgaan	absentonself	
afgang	failure	
afgeladen	brimming	
afgelasten	abjure	
afgelegen	remote	
afgelopen	completed	
afgemat	exhausted	
afgemeten	formal	
afgepast	adjusted	
afgesloten	locked	
afgesproken	agreed	
afgestorven	dead	
afgestudeerd	certificated	
afgetrokken	abstract	
afgevaardigde	delegate	
afgeven	deposit	
afgewerkt	completed	
afgezaagd	commonplace	
afgezant	ambassador	
afgezet	takenin	
afgezonderd	apart	
afghaan	afghan	
afghaans	afghan	
afghaanse	afghanwoman	
afgieten	decant	
afgietsel	cast	
afgifte	delivery	
afgod	idol	
afgodendienaar	idolator	
afgodendienst	idolatry	
afgoderĳ	idolatry	
afgodsbeeld	idol	
afgooien	castoff	
afgraven	digoff	
afgrazen	browse	
afgrendelen	bolt	
afgrond	abyss	
afgrĳselĳk	abhorrent	
afgrĳzen	abhorrence	
afgunst	envy	
afgunstig	envious	
afhaken	unhook	
afhakken	cutoff	
afhalen	abide	
afhandelen	conclude	
afhangen	depend	
afhankelĳk	dependent	
afhankelĳkheid	dependence	
afhellen	slopedown	
afhelpen	helpdown	
afhouden	abstract	
afhouwen	cutoff	
afhuren	hire	
afjakkeren	fagout	
afkalven	cavein	
afkammen	crydown	
afkanten	castoff	
afkappen	cutoff	
afkapping	elision	
afkappingsteken	apostrophe	
afkeer	aversion	
afkeren	turnaway	
afkerig	averse	
afkeuren	reject	
afkeurenswaardig	blameworthy	
afkeuring	censure	
afkicken	kickit	
afkluiven	gnawoff	
afknippen	cutoff	
afknotten	top	
afkoelen	cool	
afkoken	boil	
afkomst	lineage	
afkomstig	coming	
afkondigen	issue	
afkondiging	proclamation	
afkooksel	decoction	
afkoopsom	ransom	
afkopen	ransom	
afkoppelen	uncouple	
afkorten	abbreviate	
afkorting	abbreviation	
afkrabben	scrape	
afkraken	dodown	
afkrĳgen	getfinished	
afkunnen	beabletocopewith	
afkĳken	crib	
aflaat	indulgence	
afladen	unload	
aflaten	cease	
afleggen	abandon	
aflegger	layer	
afleiden	abstract	
afleiding	derivation	
afleidingsmanoeuvre	diversion	
afleren	breakofahabit	
afleveren	deliver	
aflevering	episode	
aflezen	read	
afloop	end	
aflopen	end	
aflopend	sloping	
aflosbaar	redeemable	
aflossen	amortize	
aflossing	redemption	
afluisteren	bug	
afmaken	accomodate	
afmatten	fagout	
afmelden	checkout	
afmeten	measure	
afmeting	dimension	
afmonsteren	discharge	
afmonstering	discharge	
afname	taking	
afneembaar	detachable	
afnemen	buy	
afnemer	buyer	
aforisme	aphorism	
afpakken	abstract	
afpassen	pace	
afpellen	shell	
afpersen	extort	
afpersing	exaction	
afplukken	pick	
afpoeieren	putoff	
afprĳzen	markdown	
afraden	adviseagainst	
afraffelen	bungle	
afranselen	beat	
afrasteren	fencein	
afrastering	grate	
afreageren	abreaction	
afreizen	depart	
afrekenen	settle	
afrekening	account	
afremmen	brake	
africhten	tame	
afrika	africa	
afrikaan	african	
afrikaans	african	A
afrikaantje	africanmarigold	
afrit	exit	
afrodite	aphrodite	
afroepen	callover	
afromen	cream	
afronden	round	
afrossen	thresh	
afruimen	clearaway	
afrukken	pick	
afrĳden	driveaway	
afschaduwing	adumbration	
afschaffen	abolish	
afschaffing	abolition	
afschaven	abrade	
afschaving	abrasion	
afscheid	farewell	
afscheiden	divide	
afscheiding	separation	
afschenken	decant	
afschepen	putoff	
afscheren	shave	
afschermen	screen	
afschieten	discharge	
afschilderen	paint	
afschilferen	flakeoff	
afschrift	copy	
afschrik	abhorrence	
afschrikken	deter	
afschrikking	deterrence	
afschrikwekkend	deterrent	
afschrĳven	amortize	
afschrĳving	redemption	
afschudden	shakeoff	
afschuimen	skim	
afschuiven	abdicate	
afschuw	abhorrence	
afschuwelĳk	abhorrent	
afslaan	beatoff	
afslachten	butcher	
afslag	auction	
afslager	auctioneer	
afslanken	slim	
afsluitboom	barrier	
afsluitdam	dam	
afsluitdĳk	dam	
afsluiten	bar	
afsluiting	dam	
afslĳten	wearaway	
afsmeken	implore	
afsnauwen	snapat	
afsnĳden	cutoff	
afspiegelen	mirror	
afspiegeling	reflection	
afsplitsen	splitoff	
afspoelen	gargle	
afsponzen	sponge	
afspraak	accommodation	
afspreken	agree	
afspringen	jumpoff	
afstaan	cede	
afstammeling	child	
afstammen	accrue	
afstamming	lineage	
afstand	abdication	
afstandelĳk	detached	
afstandsbediening	remotecontrol	
afstandsbesturing	remotecontrol	
afsteken	cutoff	
afstellen	adjust	
afstelling	adjustment	
afstemmen	attune	
afsterven	dieaway	
afstevenen	beardown	
afstoffen	dust	
afstompen	dull	
afstotelĳk	repellent	
afstoten	knockoff	
afstraffen	chastise	
afstropen	harry	
afstuderen	graduate	
afstuiten	rebound	
afstĳgen	dismount	
aftakelen	beonthedecline	
aftakken	branch	
aftakking	bough	
aftands	decayed	
aftappen	derive	
aftasten	feel	
aftekenen	design	
aftellen	countdown	
aftocht	retreat	
aftrappen	kickoff	
aftreden	abdicate	
aftrek	demand	
aftrekbaar	deductible	
aftrekken	countdown	
aftrekker	subtrahend	
aftrekking	subtraction	
aftreksel	extract	
aftreksom	subtractionsum	
aftrektal	minuend	
aftroeven	trump	
aftuigen	thrash	
afvaardigen	delegate	
afvaardiging	delegation	
afvaart	departure	
afval	clippings	
afvallen	apostatize	
afvallig	apostate	
afvallige	apostate	
afvalprodukt	wasteproduct	
afvalwater	effluent	
afvaren	depart	
afvegen	delete	
afvloeien	bedischargedgradually	
afvloeiingsregeling	redundancypay	
afvoer	carryingoff	
afvoeren	eliminate	
afvuren	discharge	
afwachten	bide	
afwachting	expectation	
afwasbaar	washable	
afwasborstel	dishwashingbrush	
afwasmachine	dishwasher	
afwasmiddel	detergent	
afwassen	washoff	
afwateren	drain	
afwatering	draining	
afweer	defence	
afwegen	measureout	
afwenden	turnaway	
afwennen	breakofahabit	
afwentelen	rolloff	
afweren	parry	
afwerken	finish	
afwerking	finishingoff	
afwerpen	castoff	
afwezig	absent	
afwezige	absentee	
afwezigheid	absence	
afwikkelen	conclude	
afwikkeling	unrolling	
afwisselen	vary	
afwisselend	alternate	
afwisseling	alternation	
afwissen	delete	
afwĳken	deviate	
afwĳkend	deviating	
afwĳking	abnormity	
afwĳzen	reject	
afwĳzing	rejection	
afzenden	dispatch	
afzender	sender	
afzet	demand	
afzetgebied	market	
afzetten	deposit	
afzetter	extortioner	
afzetterĳ	swindle	
afzetting	amputation	
afzichtelĳk	dismal	
afzienbaar	foreseeable	
afzoeken	search	
afzoenen	kissandbefriendsagain	
afzonderen	divide	
afzondering	isolation	
afzonderlĳk	apart	
afzuigkap	hood	
afzwaaien	bereleased	
afzwakken	tonedown	
afzweren	abjure	
afzwering	abjuration	
afzĳdig	neutral	
agaat	agate	
agaten	agate	
agentschap	agency	
agentschapsbureau	agency	
agentuur	agency	
ageren	act	
agglomeraat	agglomeration	
agglomeratie	agglomeration	
agglomeren	agglomerate	
agglomereren	agglomeration	
agglutineren	agglutinate	
aggregaat	aggregate	
aggregatie	aggregate	
agio	premium	A
agitatie	agitation	
agitator	activist	A
agiteren	abet	
agnosceren	acknowledge	
agnosticus	agnostic	
agnostisch	agnostic	
agonie	agony	
agorafobie	agoraphobia	
agrafe	clasp	
