abartmak	exaggerate	
abes	absurd	
abide	monument	A
abla	sister	
abluka	blockade	
abone	subscriber	
acayip	odd	
acele	hurried	
acemi	beginner	
acente	agent	
acil	pressing	
aciz	faint	
acı	acerbic	
acıklı	affecting	
acıkmak	besorryabout	
acılık	acerbity	
acımak	ache	
acındırmak	excitepity	
acıtmak	hurt	
ad	appellation	A
ada	island	A
adam	man	A
adres	address	
af	actofgrace	
afrika	africa	
afrikalı	african	
akasya	acacia	
akordeon	accordion	
akrobat	acrobat	
aktris	actress	
aktör	actor	
akustik	acoustics	
akvaryum	aquarium	
akümülatör	accumulator	
akıl	brain	
akşam	evening	
alay	irony	
alaşım	alloy	
albay	colonel	
albüm	album	
alev	flame	
aleyhinde	acrossfrom	
alfabe	alphabet	
alkiş	acclaim	
alkol	alcohol	
alkışlamak	acclaim	
almak	get	
alman	german	
almanak	almanac	
almanya	germany	
altı	six	
alüminyum	aluminium	
amatör	amateur	
amerika	unitedstatesofamerica	
amerikalı	american	
amiral	admiral	
amonyak	ammonia	
anadolu	anatolia	
anahtar	key	
anarşi	anarchy	
anarşist	anarchist	
anatomi	anatomy	
ancak	barely	
anemi	anaemia	
ankara	angora	A
anlamak	understand	
anne	mother	A
anonim	anonymous	
anormal	abnormal	
ansiklopedi	encyclopaedia	
anten	aerial	
antika	ancient	
apostrof	apostrophe	
apse	abscess	A
aralık	december	
aramak	lookfor	
arap	arab	
arasında	among	
arjantin	argentina	
arkadaş	friend	
arkasından	behind	
arnavut	albanian	
arnavutluk	albania	
arpa	barley	A
arzu	appetite	
arı	bee	
asfalt	asphalt	
asker	army	A
astronomi	astronomy	
astronot	astronaut	
astım	asthma	
asya	asia	
asır	centennial	
at	horse	A
ata	forefather	
atardamar	artery	
ateş	fire	
atlet	athlete	
atmak	throw	
atmosfer	atmosphere	
avantaj	advantage	
avantajlı	advantageous	
avrupalı	european	
avustralya	australia	
avustralyalı	australian	
avusturya	austria	
avusturyalı	austrian	
ay	moon	A
aç	hungry	
açgözlü	insatiable	
açmak	open	
açık	bright	
açıkgöz	clever	
açıklama	account	
açıklamak	accountfor	
açıkça	clearly	
ağustos	august	
baba	dad	A
babacığım	dad	
baca	chimney	
bagaj	baggage	
bakteriler	bacterium	
bakışım	symmetry	
balina	whale	
balkon	balcony	
balon	balloon	
balta	axe	
balık	fish	
balıkçı	fisherman	
banka	bank	
banyo	bathroom	
barbar	barbarian	
barikat	barricade	
barometre	barometer	
basur	haemorhoids	
battaniye	blanket	
batı	west	
baykuş	owl	
bayrak	banner	
başka	other	
başlamak	begin	
bebek	baby	
beden	body	
beklemek	abide	
belkemiği	spine	
belçika	belgium	
belçikalı	belgian	
benzin	gasolene	
berber	barber	A
beygir	horse	
beyin	brain	
bez	cloth	
beğenmek	approve	
beş	five	
biftek	steak	
bilardo	billiards	
bilet	bill	
bilezik	bracelet	
bilgisinde	adjective	
bilmek	know	
bina	building	
bir	one	
bira	ale	
birader	brother	
biriktirmek	collect	
birlik	unity	
bisiklet	bike	
biz	us	A
biçak	knife	
boksör	boxer	
bomba	bomb	
boğaziçi	bosporus	
boş	empty	
brezilya	brazil	
brezilyalı	brazilian	
britanya	britain	
broşür	leaflet	
bugün	today	
bulgaristan	bulgaria	
bulmak	find	
bulunmayış	absence	
bulut	cloud	
bulüz	blouse	
burun	nose	
burç	horoscope	
buz	ice	
böbrek	kidney	
bölüm	chapter	
bülbül	nightingale	
bütün	all	
büyük	big	
bırakmak	absentonself	
cadde	street	
cambaz	acrobat	
cami	mosque	A
cebir	algebra	
cephane	munition	
cevap	answer	
ceviz	walnut	
ceylan	gazelle	
cezayir	algeria	
cezayirli	algerian	
coğrafya	geography	
cuma	friday	
cumartesi	sabbath	
da	also	A
dahi	also	
daima	always	
daire	circle	
dana	calf	
danimarka	denmark	
danimarkalı	dane	
dans	dance	
dar	narrow	A
darı	corn	
dağ	mountain	
de	also	A
defter	notebook	
demek	say	
demir	iron	
demirci	smith	
deri	leather	
dev	giant	
deve	camel	
diktatör	dictator	
dilenci	beggar	
dilenmek	beg	
dimağ	brain	
dinamit	dynamite	
dinlemek	listen	
dinsizlik	atheism	
dip	bottom	A
dirsek	elbow	
diyalog	dialogue	
diz	knee	
dokuz	nine	
dolar	dollar	
domuz	hog	
dondurma	ice	
doğru	accurate	
doğu	east	
doğum	birth	
duka	duke	
durmak	halt	
dört	four	
dük	duke	
dükkân	boutique	
dülger	carpenter	
dün	yesterday	
dünya	world	
düzenlemek	arrange	
düşes	duchess	
düşmek	drop	
düşünmek	think	
ekim	october	
ekmek	bread	
elbise	clothes	
elektrik	electricity	
elektriki	electric	
elma	apple	
emniyet	police	
engel	barrier	A
erkek	fellow	
eski	former	
etmek	achieve	
evet	yes	
eylül	september	
eğer	if	
eğlence	amusement	
eğlendirmek	amuse	
eş	wife	
eşek	ass	
eşkiya	bandit	
fakat	but	
falı	horoscope	
fare	mouse	A
fark	difference	
fasulye	bean	
felaket	catastrophe	
fena	bad	
feshetmek	abjure	
fikir	idea	
fil	elephant	
fildişi	ivory	
filistin	palestine	
finlandiya	finland	
fizik	physics	
fizikçi	physicist	
formül	formula	
fotoğraf	photograph	
fransa	france	
fransız	french	
fren	brake	
fıkra	anecdote	
fındık	nut	
fırıncı	baker	
fıskiye	fountain	
gaga	beak	A
gazeteci	journalist	
gece	night	
gelmek	come	
gemi	boat	
genelev	brothel	
genişlik	width	
geometri	geometry	
getirmek	bring	
girmek	goin	
gitar	guitar	
gitmek	go	
gri	grey	
grup	group	
göbek	abdomen	
göndermek	send	
görmek	see	
gövde	body	
gün	day	
gündem	agenda	
gündüz	day	
gürültü	ado	
gürültücü	noisy	
gürültülü	noisy	
güve	moth	
güzel	beautiful	
güzellik	beauty	
güç	energy	
habeşistan	abyssinia	
hafta	week	
hala	aunt	
halihazırda	already	
halita	alloy	
hareket	achievement	
hava	air	A
havalimanı	airport	
havaî	aerial	
havuç	carrot	
havyar	caviar	
haydut	bandit	
hayvan	animal	
hayvanbilim	zoology	
hayvansal	animal	
haziran	june	
hece	syllable	
hedef	aim	
hesap	account	
heyet	committee	
hikâye	anecdote	
hindistan	india	
hintli	indian	
hollanda	holland	
hollandalı	dutchman	
horoz	cock	
hortlak	ghost	
hoş	agreeable	
hücum	access	
hıristiyan	christian	
hırslı	ambitious	
hırsızlık	abstraction	
hıyar	cucumber	
hızlandırmak	accelerate	
ideoloji	ideology	
ihtiras	ambition	
iki	two	
iklim	climate	
ilahi	anthem	
ilahiyat	theology	
ilan	ad	
imparator	emperor	
imparatoriçe	empress	
imparatorluk	empire	
inanmak	account	
inanç	belief	
inek	cow	
irtifa	altitude	
ise	if	
isim	appellation	
isimsiz	anonymous	
istasyon	railwaystation	
istek	appetite	
istihza	irony	
istiridye	oyster	
iyod	iodine	
içmek	smoke	
iş	affair	
işitmek	hear	
iştah	appetite	
japonca	japanese	
japonya	japan	
japonyalı	japanese	
jeoloji	geology	
kafes	cage	
kahve	coffee	
kahverengi	brown	
kalay	tin	
kalori	calorie	
kalça	thigh	
kan	blood	
kanada	canada	
kanadalı	canadian	
kanal	canal	
kanarya	canary	
kansızlık	anaemia	
kanyak	brandy	
kaos	chaos	
kapamak	close	
kaplan	tiger	
kaptan	captain	
kapı	gate	
kara	black	A
karaağaç	elm	
karnabahar	cauliflower	
kart	card	
kartal	eagle	
kartpostal	postcard	
karı	wife	
karın	abdomen	
karınca	ant	
karşı	acrossfrom	
kas	muscle	
kasap	butcher	
kasım	november	
kasırga	cyclone	
katalog	catalogue	
kategori	category	
katolik	catholic	
kaybetmek	lose	
kayık	boat	
kayısı	apricot	
kaza	accident	
kedı	cat	
kelebek	butterfly	
kemik	bone	
kent	city	A
kereviz	celery	
kesin	accurate	
keskin	acerbic	
kesmek	cut	
kestane	chestnut	
keza	also	
keşiş	monk	
kibirli	arrogant	
kil	clay	
kimya	chemistry	
kiraz	cherry	
kirli	dirty	
kitap	book	
kişla	barracks	
klinik	clinic	
kokain	cocaine	
koleksiyon	collection	
kolera	cholera	
koltuk	armchair	
komedi	comedy	
komite	committee	
komünizm	communism	
komşu	neighbour	
kongre	congress	
konuşma	dialogue	
kova	bucket	
koşmak	run	
kral	king	
kraliyet	kingdom	
kristal	crystal	
kriz	crisis	
krom	chromium	
kulak	ear	A
kullanmak	employ	
kulübe	cabin	
kulüp	club	
kum	sand	
kumaş	cloth	
kumsal	beach	
kurt	worm	A
kutlamak	celebrate	
kutsal	holy	
kutu	box	
kuvvet	energy	
kuzey	north	
kuğu	swan	
kuş	bird	
kyruk	tail	
kâtip	clerk	
köknar	fir	
köpek	dog	
köprü	bridge	
kötü	bad	
köşeli	gaunt	
küe	earring	
kül	ash	
kültür	culture	
kıbrıs	cyprus	
kıbrıslı	cypriot	
kılıç	sword	
kırlangıç	swallow	
kısaltmak	abbreviate	
kısım	chapter	
kıyı	coast	
kız	daughter	
kızgın	angry	
kızılderili	indian	
kıç	bottom	
kış	winter	
lahana	cabbage	
lehçe	dialect	
limon	lemon	
limonata	lemonade	
lübnan	lebanon	
maaş	salary	
macaristan	hungary	
macera	affair	
madde	thing	
makine	engine	
manda	buffalo	
mandalina	tangerine	
marangoz	carpenter	
mart	march	A
marul	lettuce	
mavi	blue	
maymun	ape	
mayıs	may	
melek	angel	
merkez	centre	
mermi	bullet	
mesele	affair	
meslekdaş	colleague	
mezarlık	cemetery	
meşe	oak	
midilli	pony	
millet	nation	A
mimar	architect	
misafir	guest	
molekül	molecule	
motor	engine	A
motosiklet	motorcycle	
muhammet	mohammed	
muharebe	action	
muhasebeci	accountant	
muhteris	ambitious	
muktedir	able	
mum	candle	A
musevi	jew	
mutfak	kitchen	
mutlaka	absolutely	
muz	banana	
mücadele	conflict	
mühendis	engineer	
mühim	important	
münasip	acceptable	
müneccimlik	astrology	
müslüman	mohammedan	
müvekkil	client	
müşteri	client	
mısır	egypt	
mısırlı	egyptian	
mızrak	lance	
nakletmek	carry	
nalbant	smith	
namevcut	absent	
namus	honor	
nashihat	advice	
nazari	abstract	
nefes	breath	
nefis	pretty	
nehir	river	
nisan	april	A
noel	christmas	A
norveç	norway	
norveçce	norwegian	
norveçli	norwegian	
o	he	A
ok	arrow	A
oksijen	oxygen	
okumak	read	
olay	accident	
olmak	become	
on	ten	A
ordu	army	
orospu	hooker	
otel	hotel	
otobüs	bus	
otomatik	automatic	
otomobil	car	
oturmak	sit	
oğlan	boy	
oğul	son	
palyaço	clown	
papatya	daisy	
para	money	A
pars	leopard	A
paskalya	easter	
patates	potato	
patron	boss	A
pazar	sunday	
pazartesi	monday	
pek	quite	
pençe	claw	
perde	curtain	
perhiz	diet	
peri	nymph	A
perşembe	thursday	
peynir	cheese	
pire	flea	
piskopos	bishop	
piç	bastard	
plaj	beach	
polis	police	A
politikacı	politician	
polonya	poland	
polonyalı	polish	
porsuk	badger	
portakal	orange	
portekiz	portugal	
portekizli	portuguese	
puro	cigar	
pusula	compass	
rahibe	nun	
rejim	diet	
reklam	ad	
ren	rhine	
renk	colour	
ressam	artist	
roman	novel	A
romanya	romania	
rumanya	romania	
rumca	greek	
rus	russian	A
rusya	russia	
rusça	russian	
rüzgar	wind	
saat	clock	
sabah	morning	
sadaka	alms	
sadece	barely	
sahil	coast	
sakal	beard	
salata	lettuce	
salatalık	cucumber	
saldırmak	assault	
saldırı	aggression	
saldırış	access	
salı	tuesday	
saman	straw	
sanatkâr	artist	
sandal	boat	A
sandalye	chair	
sandviç	sandwich	
sanki	asif	
sanmak	guess	
santimetre	centimetre	
sargı	bandage	
sarmaşık	ivy	
sarışın	blond	
satmak	disposeof	
savaş	war	
sayfa	page	
saymak	count	
saçma	absurd	
sağır	deaf	
sekiz	eight	
selvi	cypres	
sembol	symbol	
sene	year	
sepet	basket	
sertlik	acerbity	
sevmek	love	
seçmek	choose	
sigar	cigar	
sigara	cigarette	
silah	weapon	
silindir	cylinder	
simetri	symmetry	
simetrik	symmetric	
sincap	squirrel	
sinema	cinema	
sirk	circus	
sivrisinek	mosquito	
siyah	black	
sokak	street	
solucan	worm	
solumak	breathe	
sonbahar	autumn	
sonra	behind	
sonraları	afterwards	
sormak	ask	
soyadı	surname	
soğan	onion	
soğuk	bleak	
sporcu	athlete	
su	water	
suriye	syria	
suriyeli	syrian	
susamiş	thirsty	
susuzluk	thirst	
suçlama	accusal	
suçlamak	accuse	
suçlu	guilty	
söylemek	say	
söz	word	
sözcük	word	
sülün	pheasant	
süngü	bayonet	
süpürge	broom	
sütyen	bra	
sıcak	hot	
sıfır	naught	
sınıf	category	
sıra	bench	
sıtma	malaria	
taksi	taxi	
takvim	almanac	
tam	accurate	
tamamen	absolutely	
tanımak	beacquaintedwith	
tarak	comb	
taramak	comb	
tatlı	gentle	
tavan	ceiling	
tavşan	rabbit	
tayyare	aeroplane	
taşımak	carry	
tedavi	therapy	
tehlike	danger	
tehlikeli	dangerous	
tekrar	afresh	
temmuz	july	
teoloji	theology	
teorik	abstract	
tepe	hill	
ter	perspiration	A
tereyağı	butter	
terlemek	sweat	
termometre	thermometer	
terzi	tailor	
teyze	aunt	
tezgâh	bench	
teşekkür	thankyou	
tilki	fox	
timsah	crocodile	
tiyatro	theatre	
top	gun	A
toplamak	collect	
toprak	earth	
tren	train	
tugay	brigade	
tunç	bronze	
tutku	ambition	
tutkulu	ambitious	
tutmak	hangonto	
tuz	salt	
tuzlu	salty	
tuğla	brick	
